Device,Pressure,Temperature,Volumetric Flow,Mass Flow,Set Point,Total,Gas,Date,Time,Elaps. Mill.
A,14.80,23.75,0.22,0.22,100.00,,iButen,02/09/2023,15:48:50.999,139.5118
A,14.80,23.75,0.21,0.22,100.00,,iButen,02/09/2023,15:48:51.312,453.3984
A,14.80,23.75,0.23,0.23,100.00,,iButen,02/09/2023,15:48:51.625,764.7262
A,14.80,23.75,0.21,0.22,100.00,,iButen,02/09/2023,15:48:51.937,1077.2069
A,14.80,23.75,0.21,0.21,100.00,,iButen,02/09/2023,15:48:52.250,1391.3177
A,14.80,23.75,0.25,0.25,100.00,,iButen,02/09/2023,15:48:52.562,1702.2912
A,14.80,23.75,0.25,0.25,100.00,,iButen,02/09/2023,15:48:52.875,2015.4264
A,14.80,23.75,0.27,0.27,100.00,,iButen,02/09/2023,15:48:53.188,2328.9368
A,14.80,23.75,0.22,0.22,100.00,,iButen,02/09/2023,15:48:53.500,2641.4635
A,14.80,23.75,0.23,0.24,100.00,,iButen,02/09/2023,15:48:53.813,2953.4496
A,14.80,23.75,0.23,0.23,100.00,,iButen,02/09/2023,15:48:54.125,3265.089
A,14.80,23.75,0.23,0.24,100.00,,iButen,02/09/2023,15:48:54.438,3577.8086
A,14.80,23.75,0.23,0.23,100.00,,iButen,02/09/2023,15:48:54.750,3891.6183
A,14.80,23.75,0.25,0.26,100.00,,iButen,02/09/2023,15:48:55.063,4204.1447
A,14.80,23.75,0.25,0.26,100.00,,iButen,02/09/2023,15:48:55.375,4515.2033
A,14.80,23.75,0.24,0.25,100.00,,iButen,02/09/2023,15:48:55.688,4828.0241
A,14.80,23.75,0.25,0.26,100.00,,iButen,02/09/2023,15:48:56.001,5142.1574
A,14.80,23.75,0.29,0.29,100.00,,iButen,02/09/2023,15:48:56.313,5454.6706
A,14.80,23.75,0.18,0.18,100.00,,iButen,02/09/2023,15:48:56.626,5766.9767
A,14.80,23.75,0.26,0.26,100.00,,iButen,02/09/2023,15:48:56.938,6078.7727
A,14.80,23.75,0.15,0.15,100.00,,iButen,02/09/2023,15:48:57.251,6390.6026
A,14.80,23.75,0.15,0.15,100.00,,iButen,02/09/2023,15:48:57.563,6704.5328
A,14.80,23.75,0.20,0.20,100.00,,iButen,02/09/2023,15:48:57.876,7017.3199
A,14.80,23.75,0.34,0.34,100.00,,iButen,02/09/2023,15:48:58.188,7329.8307
A,14.80,23.75,0.21,0.21,100.00,,iButen,02/09/2023,15:48:58.501,7642.5749
A,14.80,23.75,0.20,0.20,100.00,,iButen,02/09/2023,15:48:58.814,7953.876
A,14.80,23.75,0.27,0.28,100.00,,iButen,02/09/2023,15:48:59.126,8266.0373
A,14.80,23.75,0.27,0.28,100.00,,iButen,02/09/2023,15:48:59.439,8579.4272
A,14.80,23.75,0.23,0.23,100.00,,iButen,02/09/2023,15:48:59.751,8892.7364
A,14.80,23.75,0.27,0.27,100.00,,iButen,02/09/2023,15:49:00.064,9205.4746
A,14.80,23.75,0.30,0.30,100.00,,iButen,02/09/2023,15:49:00.377,9518.0193
A,14.80,23.75,0.30,0.30,100.00,,iButen,02/09/2023,15:49:00.689,9829.2996
A,14.80,23.75,0.36,0.36,100.00,,iButen,02/09/2023,15:49:01.002,10143.4329
A,14.80,23.75,0.35,0.36,100.00,,iButen,02/09/2023,15:49:01.315,10455.9064
A,14.80,23.75,0.24,0.24,100.00,,iButen,02/09/2023,15:49:01.627,10767.0272
A,14.80,23.75,0.24,0.24,100.00,,iButen,02/09/2023,15:49:01.939,11079.6215
A,14.80,23.75,0.27,0.28,100.00,,iButen,02/09/2023,15:49:02.252,11393.5424
A,14.80,23.75,0.23,0.23,100.00,,iButen,02/09/2023,15:49:02.565,11706.0543
A,14.80,23.75,0.28,0.28,100.00,,iButen,02/09/2023,15:49:02.877,12018.5975
A,14.80,23.75,0.29,0.29,100.00,,iButen,02/09/2023,15:49:03.190,12331.0353
A,14.80,23.75,0.30,0.30,100.00,,iButen,02/09/2023,15:49:03.502,12642.644
A,14.80,23.75,0.30,0.31,100.00,,iButen,02/09/2023,15:49:03.815,12956.1391
A,14.80,23.75,0.30,0.31,100.00,,iButen,02/09/2023,15:49:04.127,13267.2115
A,14.80,23.75,0.30,0.31,100.00,,iButen,02/09/2023,15:49:04.440,13580.521
A,14.80,23.75,0.30,0.30,100.00,,iButen,02/09/2023,15:49:04.753,13894.2766
A,14.80,23.75,0.25,0.26,100.00,,iButen,02/09/2023,15:49:05.066,14206.8246
A,14.80,23.75,0.30,0.30,100.00,,iButen,02/09/2023,15:49:05.378,14518.2146
A,14.80,23.75,0.31,0.31,100.00,,iButen,02/09/2023,15:49:05.691,14832.0853
A,14.80,23.75,0.29,0.30,100.00,,iButen,02/09/2023,15:49:06.003,15144.4867
A,14.80,23.75,0.35,0.35,100.00,,iButen,02/09/2023,15:49:06.316,15457.145
A,14.80,23.75,0.32,0.33,100.00,,iButen,02/09/2023,15:49:06.628,15769.6061
A,14.80,23.75,0.32,0.33,100.00,,iButen,02/09/2023,15:49:06.941,16082.619
A,14.80,23.75,0.33,0.33,100.00,,iButen,02/09/2023,15:49:07.253,16394.7235
A,14.80,23.75,0.33,0.33,100.00,,iButen,02/09/2023,15:49:07.566,16707.3199
A,14.80,23.75,0.34,0.34,100.00,,iButen,02/09/2023,15:49:07.878,17019.8337
A,14.80,23.75,0.33,0.34,100.00,,iButen,02/09/2023,15:49:08.191,17332.6197
A,14.80,23.75,0.34,0.34,100.00,,iButen,02/09/2023,15:49:08.504,17645.1379
A,14.80,23.75,0.31,0.31,100.00,,iButen,02/09/2023,15:49:08.816,17957.6727
A,14.80,23.75,0.33,0.33,100.00,,iButen,02/09/2023,15:49:09.129,18270.3436
A,14.80,23.75,0.33,0.33,100.00,,iButen,02/09/2023,15:49:09.442,18581.6465
A,14.80,23.75,0.33,0.34,100.00,,iButen,02/09/2023,15:49:09.754,18895.5424
A,14.80,23.75,0.33,0.33,100.00,,iButen,02/09/2023,15:49:10.067,19208.0959
A,14.80,23.75,0.30,0.31,100.00,,iButen,02/09/2023,15:49:10.379,19519.168
A,14.80,23.75,0.28,0.29,100.00,,iButen,02/09/2023,15:49:10.692,19832.6132
A,14.80,23.75,0.32,0.32,100.00,,iButen,02/09/2023,15:49:11.004,20145.5783
A,14.80,23.75,0.29,0.29,100.00,,iButen,02/09/2023,15:49:11.317,20456.9094
A,14.80,23.75,0.29,0.30,100.00,,iButen,02/09/2023,15:49:11.629,20769.4241
A,14.80,23.75,0.29,0.30,100.00,,iButen,02/09/2023,15:49:11.942,21082.0709
A,14.80,23.75,0.29,0.29,100.00,,iButen,02/09/2023,15:49:12.255,21395.8106
A,14.80,23.75,0.30,0.30,100.00,,iButen,02/09/2023,15:49:12.567,21708.355
A,14.80,23.75,0.29,0.30,100.00,,iButen,02/09/2023,15:49:12.880,22020.9866
A,14.80,23.75,0.30,0.30,100.00,,iButen,02/09/2023,15:49:13.192,22333.4192
A,14.80,23.75,0.29,0.29,100.00,,iButen,02/09/2023,15:49:13.505,22646.3317
